"帧号
frame","时间(秒)
time_s","叶子状态（行为树最深活跃状态名）
leaf_state","状态ID链
state_id_chain
(17/3/9 形式，对照 behbnd 层级)","主体动画ID
motion_clip
（CMSG_Motion 下半身动画）","动画层ID
anime_clip
（CMSG_Anime）","脸部动画ID
face_clip","本帧全部动画(\|分隔)
all_clips","主动画英文名
motion_clip_en","主动画中文名
motion_clip_cn","主动画时长(秒)
motion_clip_dur","状态效果ID
motion_clip_speffect","帧聚合ID
debug_unique_id（判断切换点）"
301,5.017,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",88
302,5.033,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",88
303,5.05,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",88
304,5.067,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",88
305,5.083,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",88
306,5.1,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",88
307,5.117,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",88
308,5.133,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",88
309,5.15,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",89
310,5.167,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",89
311,5.183,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",89
312,5.2,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",89
313,5.217,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",89
314,5.233,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",89
315,5.25,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",89
316,5.267,AddBYendFace,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",90
317,5.283,AddBYendFace,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",90
318,5.3,AddBYendFace,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",90
319,5.317,AddBYendFace,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",90
320,5.333,AddBYendFace,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",90
321,5.35,AddBYendFace,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",90
322,5.367,StandQuickTurnMove,17/11/0,,a000_000432_Anime,a000_790010,a000_000432_Anime|a000_790010,,,,,91
323,5.383,StandQuickTurnMove,17/11/0,,a000_000432_Anime,a000_790010,a000_000432_Anime|a000_790010,,,,,91
324,5.4,StandQuickTurnMove,17/11/0,,a000_000432_Anime,a000_790010,a000_000432_Anime|a000_790010,,,,,91
325,5.417,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",92
326,5.433,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",92
327,5.45,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",92
328,5.467,StandQuickTurnMove,11月17日,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",93
329,5.483,StandQuickTurnMove,11月17日,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",93
330,5.5,StandQuickTurnMove,11月17日,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",93
331,5.517,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",94
332,5.533,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",94
333,5.55,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",94
334,5.567,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",94
335,5.583,StandQuickTurnMove,11月17日,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",95
336,5.6,StandQuickTurnMove,11月17日,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",95
337,5.617,StandQuickTurnMove,11月17日,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",95
338,5.633,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",96
339,5.65,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",96
340,5.667,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",97
341,5.683,StandQuickTurnMove,17/11/0,a000_000432,,a000_790010,a000_000432|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",98
342,5.7,StandQuickTurnMove,17/11/0,a000_000432,,a000_790010,a000_000432|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",98
343,5.717,StandQuickTurnMove,17/11/0,a000_000432,,a000_790010,a000_000432|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",98
344,5.733,StandQuickTurnMove,17/11/0,a000_000432,,a000_790010,a000_000432|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",98
345,5.75,StandQuickTurnMove,17/11/0,a000_000432,,a000_790010,a000_000432|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",98
346,5.767,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",99
347,5.783,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",99
348,5.8,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",100
349,5.817,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",100
350,5.833,StandQuickTurnMove,11月17日,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",101
351,5.85,StandQuickTurnMove,11月17日,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",101
352,5.867,StandQuickTurnMove,11月17日,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",101
353,5.883,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",102
354,5.9,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",102
355,5.917,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",102
356,5.933,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",102
357,5.95,AddBfendFace,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",103
358,5.967,AddBfendFace,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",103
359,5.983,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",104
360,6,StandQuick,11月17日,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",105
361,6.017,StandQuick,11月17日,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",105
362,6.033,StandQuick,11月17日,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",105
363,6.05,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",106
364,6.067,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",106
365,6.083,StandQuick,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",106
366,6.1,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",107
367,6.117,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",107
368,6.133,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",107
369,6.15,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",107
370,6.167,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",108
371,6.183,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",108
372,6.2,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",109
373,6.217,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",109
374,6.233,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",110
375,6.25,StandQuickTurnMove,17/11/0,a000_000432,a000_000432_Anime,a000_790010,a000_000432|a000_000432_Anime|a000_790010,StandQuickTurnRunStartLeft180_F[A],站立左180度急转跑步起步·前,1.633,"100001, 100240, 100295, 100312 等5个",110
376,6.267,StandMoveLoop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",111
377,6.283,StandMoveLoop,17/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",111
378,6.3,StandMaveLoop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",112
379,6.317,StandMaveLoop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",112
380,6.333,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",113
381,6.35,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",113
382,6.367,StandMoveloop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",114
383,6.383,StandMoveloop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",114
384,6.4,StandMoveloop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",114
385,6.417,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",115
386,6.433,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",115
387,6.45,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",115
388,6.467,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",116
389,6.483,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",116
390,6.5,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",117
391,6.517,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",117
392,6.533,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",117
393,6.55,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",117
394,6.567,StandMoveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",118
395,6.583,StandMoveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",118
396,6.6,StandMoveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",119
397,6.617,StandMoveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",119
398,6.633,StandMoveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",119
399,6.65,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",120
400,6.667,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",120
401,6.683,StandMoveloop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",120
402,6.7,AdaBlendFace,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",121
403,6.717,AdaBlendFace,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",121
404,6.733,AdaBlendFace,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",121
405,6.75,StandMaveLoop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",122
406,6.767,StandMaveLoop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",122
407,6.783,StandMoveLoop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",123
408,6.8,StandMoveLoop,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",123
409,6.817,AddBTendFace,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",124
410,6.833,AddBTendFace,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",124
411,6.85,AddBTendFace,17/0/0,a000_000500,a000_000500_Anime,a000_790010,a000_000500|a000_000500_Anime|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",124
412,6.867,StandMoveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",125
413,6.883,StandMoveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",125
414,6.9,StandMoveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",125
415,6.917,StandMoveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",125
416,6.933,StandMoveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",125
417,6.95,StandMoveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",125
418,6.967,StandMoveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",125
419,6.983,StandMoveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",126
420,7,StandMoveLoop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",126
421,7.017,StandMoveloop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",127
422,7.033,StandMoveloop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",127
423,7.05,StandMoveloop,17/0/0,a000_000500,,a000_790010,a000_000500|a000_790010,StandRunLoopF[A],站立跑步循环·前,3.333,"100001, 100295",127
424,7.067,StandMaveLoop,17/0/0,,,a000_790010,a000_790010,,,,,128
425,7.083,StandMaveLoop,17/0/0,,,a000_790010,a000_790010,,,,,128
